RGB_R_Mean,RGB_R_Std,RGB_R_Min,RGB_R_Max,RGB_R_Median,RGB_R_Q25,RGB_R_Q75,RGB_G_Mean,RGB_G_Std,RGB_G_Min,RGB_G_Max,RGB_G_Median,RGB_G_Q25,RGB_G_Q75,RGB_B_Mean,RGB_B_Std,RGB_B_Min,RGB_B_Max,RGB_B_Median,RGB_B_Q25,RGB_B_Q75,Image_Name,Label
148.14017842161195,46.81606349903242,50,255,151.0,113.0,184.0,127.88182364785503,39.07286929289104,49,226,130.0,98.0,157.0,39.09367134627216,25.128782484456295,0,131,40.0,20.0,57.0,image_0_1014.jpg,overripe
133.98239942080363,41.67241498794652,52,255,132.0,101.0,162.0,117.46222116812922,35.38864399116141,48,229,116.0,89.0,142.0,28.423362584414125,24.64073908339629,0,156,25.0,7.0,42.0,image_0_107.jpg,overripe
156.5075137894351,51.28070759133692,51,255,162.0,116.0,195.0,129.1368037117494,41.02043627043259,49,219,130.0,98.0,159.0,37.23675811945182,26.481309582051807,0,111,33.0,16.0,58.0,image_0_1113.jpg,overripe
155.03790708948839,46.389698852674776,50,255,157.0,121.0,191.0,129.11307249187246,38.32473998112326,48,220,129.0,100.0,158.0,40.30298579820909,26.288863498057033,0,119,38.0,19.0,59.0,image_0_1156.jpg,overripe
125.87718633921166,44.85746185685877,51,253,114.0,89.0,163.0,103.58380215658697,35.15497906034351,46,207,98.0,74.0,130.0,45.030725954776585,21.997171569356315,0,130,44.0,30.0,59.0,image_0_116.jpg,overripe
156.15383131467627,48.93213003146797,51,255,158.0,116.0,197.0,126.02629765890896,41.5601504005645,45,229,126.0,92.0,160.0,43.84603778264644,27.07434203191286,0,133,42.0,24.0,63.0,image_0_1338.jpg,overripe
133.53434920634922,36.67738647086351,50,227,132.0,106.0,163.0,117.21013333333333,29.90892674451354,50,229,117.0,95.0,140.0,38.29308783068783,25.571083206405227,0,191,38.0,19.0,54.0,image_0_1358.jpg,overripe
142.32053025152956,49.36845057099022,51,255,138.0,104.0,177.0,115.8402962322065,40.21133924012401,45,240,110.0,85.0,142.0,44.22282306408751,28.99346340650269,0,155,43.0,23.0,63.0,image_0_1390.jpg,overripe
140.90538890917628,44.30616971135512,52,246,138.0,104.0,178.0,110.121978193959,34.279642358897114,48,203,107.0,82.0,137.0,32.91860816944024,26.921593670753843,0,138,31.0,7.0,52.0,image_0_1450.jpg,overripe
137.8151086456239,53.70218902788245,51,255,127.0,94.0,180.0,116.63855042271263,42.67285608293042,47,224,107.0,83.0,148.0,43.21545020711707,28.975992960797594,0,127,45.0,18.0,65.0,image_0_1519.jpg,overripe
147.15763773881272,48.030831145023576,51,255,146.0,111.0,180.0,117.96813269365386,38.46600764307907,45,223,115.0,89.0,143.0,40.015937921496985,27.577152121824817,0,161,38.0,20.0,58.0,image_0_1524.jpg,overripe
137.65066695281803,38.79180941637891,51,255,136.0,109.0,162.0,106.62571400270743,31.154133553023915,47,229,104.0,84.0,125.0,30.809266351900156,26.881573170268634,0,157,25.0,9.0,46.0,image_0_1538.jpg,overripe
166.3409329424963,50.63706587656216,51,255,172.0,122.0,208.0,135.43917296951713,40.79850965667912,47,219,138.0,101.0,169.0,59.260606279931004,23.084727447682205,0,152,60.0,43.0,76.0,image_0_1542.jpg,overripe
143.69132577331828,44.14667736138741,50,253,144.0,110.0,177.0,124.14805854064002,37.32833734955061,49,221,125.0,95.0,152.0,37.05978744879178,25.476422020505048,0,124,37.0,16.0,55.0,image_0_1550.jpg,overripe
155.568838230944,47.81118251399379,52,255,159.0,121.0,190.0,126.7999395797013,39.90194509449592,45,229,127.0,98.0,154.0,43.66794010837891,26.621324862017858,0,126,42.0,25.0,62.0,image_0_156.jpg,overripe
143.67915744108808,46.77449835688499,50,247,145.0,105.0,182.0,117.96435631820339,35.51583895712278,48,205,119.0,89.0,147.0,34.92604380831884,22.9711419335805,0,123,35.0,16.0,52.0,image_0_1585.jpg,overripe
140.7799639423077,42.194666029545175,51,254,138.0,109.0,173.0,119.65356971153847,35.508176848079195,48,218,118.0,92.0,146.0,27.806766826923077,24.891210023251016,0,138,24.0,4.0,43.0,image_0_1589.jpg,overripe
139.91186164002852,43.30175932057684,52,244,137.0,105.0,176.0,109.42425432116623,33.35548261068188,48,201,105.0,83.0,135.0,32.88658036387681,27.114615104716357,0,134,30.0,6.0,52.0,image_0_1592.jpg,overripe
140.3740582621798,34.356655990800434,52,226,142.0,114.0,168.0,111.47132931525196,27.28841357629041,49,191,113.0,91.0,132.0,30.247522183157542,21.827840309138328,0,151,30.0,12.0,44.0,image_0_1787.jpg,overripe
152.71914693337254,33.31267467616999,52,224,158.0,135.0,177.0,123.38316222973967,27.184359705927903,47,188,127.0,108.0,143.0,44.125400794234444,18.266742832328706,0,104,44.0,32.0,57.0,image_0_1788.jpg,overripe
139.04767727185174,37.0252724452593,51,233,139.0,112.0,167.0,122.9379098377817,32.02887473461503,49,203,124.0,100.0,147.0,35.06623564782634,23.18557718694786,0,122,36.0,16.0,53.0,image_0_1796.jpg,overripe
154.40483935700556,54.0614436518826,50,255,156.0,107.0,203.0,129.56451067784795,43.5693766033532,48,221,129.0,91.0,168.0,40.66324116516339,27.993418069876796,0,121,41.0,17.0,60.0,image_0_1830.jpg,overripe
158.65114924266499,47.32918240001171,51,255,161.0,124.0,197.0,126.98953652004177,39.38924857959239,45,220,127.0,98.0,157.0,36.993395070134824,26.455313021084546,0,145,36.0,15.0,55.0,image_0_1839.jpg,overripe
147.26553078828252,48.045685387782434,51,255,146.0,111.0,180.0,118.05114868904262,38.570061482420776,46,225,115.0,89.0,144.0,39.84415406951917,27.68481636810872,0,160,38.0,19.0,58.0,image_0_1856.jpg,overripe
134.25684464994916,37.887433792117754,52,254,132.0,106.0,159.0,115.20132000537211,32.31177518172953,48,224,113.0,92.0,135.0,32.26026937318931,24.894537367639433,0,132,29.0,13.0,46.0,image_0_1863.jpg,overripe
155.8805862758161,51.22748312677856,51,255,160.0,114.0,195.0,128.67605596269155,41.10643528772514,49,225,128.0,97.0,159.0,36.83781479013991,27.105328120992066,0,129,34.0,14.0,56.0,image_0_1886.jpg,overripe
142.26795600580095,45.7481631453445,51,254,138.0,105.5,179.0,111.37061619401484,35.36567843964554,48,212,107.0,82.0,138.0,33.93210327415923,26.417967973246174,0,125,33.0,9.0,53.0,image_0_1895.jpg,overripe
140.08220612342024,43.7170470425858,52,245,139.0,104.0,176.0,109.28914388451166,33.78436392468477,48,203,107.0,81.0,135.0,33.29528845645392,25.501006034522437,0,141,31.0,12.0,50.0,image_0_1912.jpg,overripe
